participant,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5
699892_Utility_discrimination_2024_2cat_2025-03-15_14h12.47.943,0.18415239159920052,0.18,0.17836601827113452,-1.5363949699493664,-1.53,-1.5405174547784053,1.720547361548567,1.71,1.71888347304954,0.37331199243518753,0.28,0.341064194189126,0.29997364587093467,0.21000000000000002,0.2696742201167087,0.07333834656425287,0.07,0.07138997407241726
639188_Utility_discrimination_2024_2cat_2025-03-17_13h17.01.639,-0.4756879236227691,-0.65,-0.6082418313897092,0.34932715927535385,0.35,0.3435704652518182,-0.825015082898123,-1.0,-0.9518122966415274,0.3090713477587745,0.23,0.28518674353656026,0.5459961841635528,0.49,0.5242935792901244,-0.2369248364047783,-0.26,-0.23910683575356417
872718_Utility_discrimination_2024_2cat_2025-03-18_22h58.34.246,1.7764126244309042,1.7600000000000002,1.7644380289857817,1.6465592288874664,1.6300000000000001,1.6338600956742888,0.12985339554343778,0.13000000000000012,0.13057793331149292,1.0810777284559656,1.6800000000000002,1.6189270762648589,1.4483534798963615,1.59,1.5896591388951622,-0.3672757514403959,0.09000000000000008,0.029267937369696684
197640_Utility_discrimination_2024_2cat_2025-03-14_12h20.24.150,0.21647541473483917,0.21000000000000002,0.21096115152357747,0.1684994463978107,0.17,0.16313557187491678,0.04797596833702847,0.04000000000000001,0.04782557964866069,0.18712021802333598,0.13,0.1599293958732431,-0.10590932015137544,-0.04000000000000001,-0.09485320444813886,0.29302953817471145,0.17,0.25478260032138195
227467_Utility_discrimination_2024_2cat_2025-03-13_18h34.20.777,-1.194762544645659,-1.2,-1.1999193208307353,-1.6685067878006625,-1.65,-1.668105883611335,0.47374424315500363,0.44999999999999996,0.46818656278059967,-0.041273203552813414,-0.18999999999999997,-0.07626498360211573,0.3046286905003245,0.23,0.2790140876426861,-0.34590189405313787,-0.42,-0.35527907124480185
171876_Utility_discrimination_2024_2cat_2025-03-15_10h05.58.976,-0.021301073184668506,0.1,0.08935522241072318,0.09646494294298179,0.1,0.09099541371659287,-0.1177660161276503,0.0,-0.0016401913058696899,-0.07243371349928207,-0.04000000000000001,-0.07864425531608688,-0.13069380314034051,-0.10999999999999999,-0.13732124940616408,0.05826008964105844,0.06999999999999998,0.058676994090077206
225967_Utility_discrimination_2024_2cat_2025-03-14_09h00.29.757,1.6960722089949687,1.6700000000000002,1.6830428050940258,1.7667570007981084,1.7400000000000002,1.7531687178720017,-0.07068479180313969,-0.07000000000000006,-0.07012591277797586,0.49922962068289445,1.5000000000000002,0.24887299881721306,1.2615367276549152,1.6500000000000001,1.5889600474898415,-0.7623071069720208,-0.1499999999999999,-1.3400870486726284
772950_Utility_discrimination_2024_2cat_2025-03-15_00h31.52.114,0.19706929661836176,0.2,0.19157806220610182,0.5680528180303929,0.56,0.561538123664082,-0.3709835214120311,-0.36000000000000004,-0.3699600614579801,-0.07945974632064182,-0.01999999999999999,-0.06996856309771027,0.5412335245115514,0.5,0.5221496631988909,-0.6206932708321932,-0.52,-0.5921182262966012
838091_Utility_discrimination_2024_2cat_2025-03-13_21h26.42.203,0.2797573450567571,0.28,0.27408535122713373,0.2650927641932133,0.26,0.2595396290716153,0.014664580863543775,0.020000000000000018,0.014545722155518415,0.2725052690261689,0.22,0.24846344550581473,-0.06712856677637491,0.010000000000000009,-0.05324508737177852,0.3396338358025438,0.21,0.30170853287759325
Nidhi_Shah_Utility_discrimination_2024_2cat_2025-03-19_21h14.14.065,2.0190796563378894,2.0,2.0084935941615543,1.913556597101963,1.9000000000000001,1.9020364360522946,0.10552305923592642,0.09999999999999987,0.10645715810925971,0.10001055831444036,0.1,0.09500259472085763,0.09999498193535676,0.1,0.09499855309312624,1.55763790836011e-05,0.0,4.04162773139094e-06
