participant,feature_index,pre_threshold_mean,pre_threshold_mode,pre_threshold_median,post_threshold_mean,post_threshold_mode,post_threshold_median,delta_threshold_mean,delta_threshold_mode,delta_threshold_median,pre_threshold_mean_last5,pre_threshold_mode_last5,pre_threshold_median_last5,post_threshold_mean_last5,post_threshold_mode_last5,post_threshold_median_last5,delta_threshold_mean_last5,delta_threshold_mode_last5,delta_threshold_median_last5,alpha_angle
215334_Utility_discrimination_2024_2cat_2025-03-15_20h35.35.895,0,0.2174414900848654,0.21,0.2103639541320532,1.6299002259485684,1.6,1.616013899181198,-1.412458735863703,-1.39,-1.4056499450491446,0.4236903128826335,0.35,0.3932321600738547,1.5982348380991256,1.58,1.5859093302210143,-1.174544525216492,-1.23,-1.1926771701471597,0.0
249109_Utility_discrimination_2024_2cat_2025-03-17_10h37.42.839,0,0.6751478817904606,0.67,0.6672319918415828,0.3019256981648258,0.29,0.2906241252641751,0.3732221836256347,0.38,0.3766078665774076,0.4560285743316082,0.38,0.4267221931717142,0.2439147067497927,0.16,0.2185310569984767,0.2121138675818155,0.22,0.2081911361732374,0.0
699892_Utility_discrimination_2024_2cat_2025-03-15_14h12.47.943,0,0.1658261471345466,0.16,0.1573913712139921,-1.3980669543411512,-1.43,-1.4325796984588022,1.5638931014756978,1.59,1.5899710696727944,0.2288043780770143,0.15,0.1963113385820851,0.0996190009034766,0.1,0.0948086332398046,0.1291853771735376,0.05,0.1015027053422804,0.0
639188_Utility_discrimination_2024_2cat_2025-03-17_13h17.01.639,0,0.1147870689949587,0.11,0.1076922102136034,0.3094224433042565,0.31,0.303940048107511,-0.1946353743092977,-0.2,-0.1962478378939075,0.2741513484701504,0.18,0.2408343315256099,0.3203839601698081,0.26,0.2937202594861474,-0.0462326116996577,-0.08,-0.0528859279605375,0.0
872718_Utility_discrimination_2024_2cat_2025-03-18_22h58.34.246,0,1.6506287057028293,1.63,1.6375605571227625,1.4809172145778178,1.4600000000000002,1.469608927884507,0.1697114911250115,0.1699999999999999,0.1679516292382552,1.3516170119463322,1.63,1.6151516433186393,0.1170482432303173,0.1,0.0999085051242893,1.2345687687160147,1.53,1.51524313819435,0.0
197640_Utility_discrimination_2024_2cat_2025-03-14_12h20.24.150,0,0.1999294897720345,0.19,0.1912121980748819,0.1365992136660102,0.13,0.1295407513269589,0.0633302761060242,0.06,0.0616714467479229,-0.1077985279337687,-0.0499999999999999,-0.0981887285602231,0.1823441942627762,0.1,0.1480111813232712,-0.2901427221965449,-0.15,-0.2461999098834943,0.0
227467_Utility_discrimination_2024_2cat_2025-03-13_18h34.20.777,0,-1.090671052178238,-1.11,-1.1023114972593653,-1.266248258200992,-1.15,-1.2600146434047788,0.1755772060227538,0.04,0.1577031461454134,-0.0476327410021003,-0.18,-0.0867430194353544,0.0283108375912486,-0.03,0.009030804886525,-0.0759435785933489,-0.15,-0.0957738243218794,0.0
171876_Utility_discrimination_2024_2cat_2025-03-15_10h05.58.976,0,0.2135759015678529,0.18,0.1928640610583963,0.1150093915250024,0.1,0.1053948041897258,0.0985665100428505,0.0799999999999999,0.0874692568686704,-0.0109166766775943,0.01,-0.0178146062306172,-0.0995608005838603,-0.21,-0.136895928431506,0.0886441239062659,0.22,0.1190813222008888,0.0
225967_Utility_discrimination_2024_2cat_2025-03-14_09h00.29.757,0,1.5854866496780742,1.57,1.5747821869746397,1.7732721613354223,1.7500000000000002,1.759950615402638,-0.1877855116573483,-0.1800000000000001,-0.1851684284279984,1.4379444482666284,1.4400000000000002,1.44014878885091,0.1055654553220865,0.1,0.096275441726545,1.3323789929445418,1.34,1.3438733471243651,0.0
772950_Utility_discrimination_2024_2cat_2025-03-15_00h31.52.114,0,0.1300348736627919,0.13,0.1234424333395901,0.4804128018880107,0.47,0.472914092466229,-0.3503779282252187,-0.3399999999999999,-0.3494716591266389,0.2336804399738505,0.18,0.2103957857132858,0.5648508731814772,0.53,0.5476781339157918,-0.3311704332076266,-0.35,-0.3372823482025059,0.0
838091_Utility_discrimination_2024_2cat_2025-03-13_21h26.42.203,0,0.2754439388952268,0.27,0.2671895605915912,0.2691712567228898,0.26,0.2607281893953709,0.006272682172337,0.01,0.0064613711962203,-0.0575575507849253,0.03,-0.0407486777466477,-0.0617385793293008,0.01,-0.0477339569266434,0.0041810285443754,0.0199999999999999,0.0069852791799957,0.0
